manufacturer,model,drive_days,failures,avg_capacity_bytes,afr_percent,afr_rank,mfr_drive_days,mfr_failures,mfr_afr_percent,share_of_mfr_fleet,afr_vs_mfr_avg
Toshiba,TOSHIBA MG08ACA16TEY,898006,241,1.6000900661248E13,9.7956,1,19904344,755,1.3845,0.0451,8.4111
Other,WUH721816ALE6L4,50331,9,1.6000900661248E13,6.5268,2,428482,9,0.7667,0.1175,5.7601
Seagate,ST10000NM0086,178317,31,1.0000831348736E13,6.3454,3,20308436,855,1.5367,0.0088,4.8087
Seagate,ST14000NM0138,228840,37,1.4000519643136E13,5.9015,4,20308436,855,1.5367,0.0113,4.3648
Seagate,ST12000NM0007,179224,24,1.2000138625024E13,4.8877,5,20308436,855,1.5367,0.0088,3.351
HGST,HGST HUH721212ALN604,1782613,204,1.2000138625024E13,4.177,6,4908983,378,2.8106,0.3631,1.3664
Seagate,ST24000NM002H,1421629,120,2.4000277250048E13,3.081,7,20308436,855,1.5367,0.07,1.5443
WDC,WDC WUH721816ALE6L0,542643,44,1.6000900661248E13,2.9596,8,14683320,287,0.7134,0.037,2.2462
Seagate,ST12000NM0008,3393264,261,1.2000138625024E13,2.8075,9,20308436,855,1.5367,0.1671,1.2708
Toshiba,TOSHIBA MG07ACA14TEY,174132,13,1.4000519643136E13,2.7249,10,19904344,755,1.3845,0.0087,1.3404
Seagate,ST14000NM000J,69110,5,1.4000519643136E13,2.6407,11,20308436,855,1.5367,0.0034,1.104
HGST,HGST HUH721212ALE604,2410780,151,1.2000138625024E13,2.2862,12,4908983,378,2.8106,0.4911,-0.5244
Seagate,ST8000NM0055,2401059,92,8.001563222016E12,1.3985,13,20308436,855,1.5367,0.1182,-0.1382
HGST,HGST HUH721212ALE600,474027,17,1.2000138625024E13,1.309,14,4908983,378,2.8106,0.0966,-1.5016
Seagate,ST8000DM002,1464260,52,8.001563222016E12,1.2962,15,20308436,855,1.5367,0.0721,-0.2405
Toshiba,TOSHIBA MG08ACA16TE,1107210,37,1.6000900661248E13,1.2197,16,19904344,755,1.3845,0.0556,-0.1648
HGST,HGST HUH728080ALE600,185906,6,8.001563222016E12,1.178,17,4908983,378,2.8106,0.0379,-1.6326
Toshiba,TOSHIBA MG07ACA14TA,6783775,210,1.4000519643136E13,1.1299,18,19904344,755,1.3845,0.3408,-0.2546
Seagate,ST14000NM001G,1917282,59,1.4000519643136E13,1.1232,19,20308436,855,1.5367,0.0944,-0.4135
Seagate,ST12000NM001G,2404627,64,1.2000138625024E13,0.9715,20,20308436,855,1.5367,0.1184,-0.5652
Toshiba,TOSHIBA MG08ACA16TA,7234626,187,1.6000900661248E13,0.9434,21,19904344,755,1.3845,0.3635,-0.4411
WDC,WDC WUH721816ALE6L4,4791410,120,1.6000900661248E13,0.9141,22,14683320,287,0.7134,0.3263,0.2007
WDC,WDC WUH722626ALE6L4,182471,4,2.600065826816E13,0.8001,23,14683320,287,0.7134,0.0124,0.0867
Toshiba,TOSHIBA MG10ACA20TE,3081390,63,2.0000588955648E13,0.7463,24,19904344,755,1.3845,0.1548,-0.6382
Toshiba,TOSHIBA MG09ACA16TE,54840,1,1.6000900661248E13,0.6656,25,19904344,755,1.3845,0.0028,-0.7189
WDC,WDC WUH721414ALE6L4,1571338,27,1.4000519643136E13,0.6272,26,14683320,287,0.7134,0.107,-0.0862
Seagate,ST16000NM001G,6223238,101,1.6000900661248E13,0.5924,27,20308436,855,1.5367,0.3064,-0.9443
Seagate,ST12000NM000J,188610,3,1.2000138625024E13,0.5806,28,20308436,855,1.5367,0.0093,-0.9561
WDC,WDC WUH722222ALE6L4,7548433,92,2.200096997376E13,0.4449,29,14683320,287,0.7134,0.5141,-0.2685
Toshiba,TOSHIBA MG11ACA24TE,519535,3,2.4000277250048E13,0.2108,30,19904344,755,1.3845,0.0261,-1.1737
Other,Seagate BarraCuda 120 SSD ZA250CM10003,195000,0,2.50059350016E11,0.0,31,428482,9,0.7667,0.4551,-0.7667
Other,Seagate BarraCuda SSD ZA250CM10002,87816,0,2.50059350016E11,0.0,31,428482,9,0.7667,0.2049,-0.7667
Dell,DELLBOSS VD,78271,0,4.80036847616E11,0.0,31,78271,0,0.0,1.0,0.0
Seagate,ST16000NM002J,84512,0,1.6000900661248E13,0.0,31,20308436,855,1.5367,0.0042,-1.5367
Crucial,CT250MX500SSD1,128400,0,2.50059350016E11,0.0,31,128400,0,0.0,1.0,0.0
